question,answer,exposure,complexity,responsibility,set_type,notes
Describe a project where the scale or complexity was higher than usual.,"I worked mainly on ETL pipeline and used Redis, Docker in that context. The work was relatively simple and focused on a limited scope with few dependencies. My responsibility was limited to support tasks, updates, or a narrower implementation scope.",3,2,2,main,mixed_mid
"What was your role in your last project, and how much responsibility did you have?","I touched related tasks before, mostly around one area like reporting platform. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. My responsibility was limited to support tasks, updates, or a narrower implementation scope. I worked with operations, clients during the project.",1,3,2,main,edge_uncertain
Describe a project where the scale or complexity was higher than usual.,"I had limited exposure, mostly around customer onboarding flow, and I used CI/CD pipelines for a narrow part of the process. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. I was responsible for one meaningful part of the work, together with the rest of the team. I worked with operations during the project.",2,5,3,main,complexity_high_exposure_low
Describe the most demanding technical or operational work you have done.,"I touched related tasks before, mostly around one area like permissions system. The work was relatively simple and focused on a limited scope with few dependencies. My role was quite limited, and the main ownership stayed with more senior team members. I worked with clients, sales, product during the project.",1,2,1,main,all_low
Describe the broadest range of tools or systems you have worked with.,"I worked mainly on mobile app backend and used REST APIs, React in that context. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. My role was quite limited, and the main ownership stayed with more senior team members. I worked with engineering, support during the project.",3,5,1,main,responsibility_low_complexity_high
Describe a project where the scale or complexity was higher than usual.,"I have worked across a customer-facing product, including internal admin system, support workflows, and reporting processes. I used tools such as Notion, AWS S3, CI/CD pipelines, PostgreSQL, Kubernetes and had exposure to both technical and operational work. The work was relatively simple and focused on a limited scope with few dependencies. I was responsible for one meaningful part of the work, together with the rest of the team.",5,2,3,main,exposure_high_complexity_low
Describe the most demanding technical or operational work you have done.,"I have some background in it, mostly around one area like customer onboarding flow. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. I owned a significant part of the delivery and was responsible for key decisions and outcomes. I worked with support, engineering during the project.",1,5,4,main,complexity_high_exposure_low
How much end-to-end ownership have you had in a real project?,"I had limited exposure, mostly around API integration layer, and I used CI/CD pipelines for a narrow part of the process. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I owned a significant part of the delivery and was responsible for key decisions and outcomes. I worked with finance during the project.",2,3,4,main,responsibility_high_exposure_low
Tell me about a project where coordination across teams was required.,"I was involved to some extent, mostly around one area like support operations dashboard. The work was relatively simple and focused on a limited scope with few dependencies. I was responsible for one meaningful part of the work, together with the rest of the team. I worked with QA, engineering during the project.",1,2,3,main,edge_uncertain
Tell me about a production issue or major challenge you handled.,"I have some background in it, mostly around one area like support operations dashboard. The project had moderate-to-high complexity because there were several moving parts, some ambiguity, and coordination requirements. I owned a significant part of the delivery and was responsible for key decisions and outcomes.",1,4,4,minimal_pair_low,pair_dim=exposure
Describe the broadest range of tools or systems you have worked with.,"I was around this kind of work, mostly around one area like order management flow. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. I was responsible for one meaningful part of the work, together with the rest of the team.",1,5,3,main,complexity_high_exposure_low
Tell me about the most complex project you worked on.,"I had limited exposure, mostly around internal admin system, and I used CI/CD pipelines for a narrow part of the process. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. My responsibility was limited to support tasks, updates, or a narrower implementation scope. I worked with finance during the project.",2,5,2,main,complexity_high_exposure_low
Describe the most demanding technical or operational work you have done.,"I worked on monitoring dashboard in a multi-team production system and used Lambda, Kubernetes, Power BI, Notion across several stages of the work. The project had moderate-to-high complexity because there were several moving parts, some ambiguity, and coordination requirements. My responsibility was limited to support tasks, updates, or a narrower implementation scope.",4,4,2,main,mixed_mid
Tell me about a production issue or major challenge you handled.,"I worked mainly on reporting platform and used Kubernetes, Lambda in that context. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I was responsible for one meaningful part of the work, together with the rest of the team. I worked with operations, clients during the project.",3,3,3,main,mixed_mid
Describe a project where the scale or complexity was higher than usual.,"I worked on customer onboarding flow in a regulated environment and used Jira, Looker across several stages of the work. The work was relatively simple and focused on a limited scope with few dependencies. I was responsible for one meaningful part of the work, together with the rest of the team.",4,2,3,main,mixed_mid
Tell me about the most complex project you worked on.,"I worked mainly on fraud review workflow and used CI/CD pipelines, Excel in that context. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. My responsibility was limited to support tasks, updates, or a narrower implementation scope. I worked with sales during the project. I only handled one part of it.",3,3,2,main,mixed_mid
Describe the most demanding technical or operational work you have done.,"I worked mainly on candidate screening pipeline and used Redis, MongoDB in that context. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I owned a significant part of the delivery and was responsible for key decisions and outcomes.",3,3,4,main,mixed_mid
How much end-to-end ownership have you had in a real project?,"I was around this kind of work, mostly around one area like CRM automation. The project had moderate-to-high complexity because there were several moving parts, some ambiguity, and coordination requirements. I owned a significant part of the delivery and was responsible for key decisions and outcomes.",1,4,4,minimal_pair_low,pair_dim=exposure
How much end-to-end ownership have you had in a real project?,"I worked on order management flow in a time-sensitive support process and used Spark, Kubernetes across several stages of the work. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I was responsible for one meaningful part of the work, together with the rest of the team. I worked with product, operations during the project.",4,3,3,main,mixed_mid
"What level of responsibility have you had for delivery, quality, or outcomes?","I worked on inventory service in an internal operations platform and used PostgreSQL, Git, Redis, SQL, Pandas, Kubernetes across several stages of the work. The project had moderate-to-high complexity because there were several moving parts, some ambiguity, and coordination requirements. My role was quite limited, and the main ownership stayed with more senior team members. I worked with clients during the project.",4,4,1,minimal_pair_low,pair_dim=responsibility
Tell me about a production issue or major challenge you handled.,"I worked on payments workflow in a small internal tool and used Looker, Airflow, Spark, Python, Lambda across several stages of the work. The project had moderate-to-high complexity because there were several moving parts, some ambiguity, and coordination requirements. I was personally accountable for planning, execution, follow-up, and final delivery. I made decisions, coordinated with finance, and was the main point of ownership. I worked with finance during the project.",4,4,5,minimal_pair_high,pair_dim=responsibility
How much end-to-end ownership have you had in a real project?,"I had limited exposure, mostly around support operations dashboard, and I used Kubernetes for a narrow part of the process. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I was responsible for one meaningful part of the work, together with the rest of the team.",2,3,3,main,mixed_mid
Describe a project where the scale or complexity was higher than usual.,"I had limited exposure, mostly around release process, and I used Node.js for a narrow part of the process. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I owned a significant part of the delivery and was responsible for key decisions and outcomes.",2,3,4,main,mixed_mid
"What kind of systems, teams, or environments have you been exposed to?","I have worked across a time-sensitive support process, including inventory service, support workflows, and reporting processes. I used tools such as Looker, Kubernetes, Power BI and had exposure to both technical and operational work. The work was relatively simple and focused on a limited scope with few dependencies. I was responsible for one meaningful part of the work, together with the rest of the team. I worked with engineering during the project. I do not remember every detail.",5,2,3,main,exposure_high_complexity_low
Describe the broadest range of tools or systems you have worked with.,"I had limited exposure, mostly around reporting platform, and I used Node.js for a narrow part of the process. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. I was responsible for one meaningful part of the work, together with the rest of the team.",2,5,3,main,complexity_high_exposure_low
Tell me about the most complex project you worked on.,"I worked mainly on fraud review workflow and used Looker, PostgreSQL in that context. The work was relatively simple and focused on a limited scope with few dependencies. I owned a significant part of the delivery and was responsible for key decisions and outcomes. I worked with management during the project.",3,2,4,main,mixed_mid
Describe the broadest range of tools or systems you have worked with.,"I had limited exposure, mostly around API integration layer, and I used SQL for a narrow part of the process. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I owned a significant part of the delivery and was responsible for key decisions and outcomes. I worked with QA, management during the project.",2,3,4,main,mixed_mid
Describe the most demanding technical or operational work you have done.,"I have worked across an internal operations platform, including support operations dashboard, support workflows, and reporting processes. I used tools such as Redis, Looker and had exposure to both technical and operational work. The project had moderate-to-high complexity because there were several moving parts, some ambiguity, and coordination requirements. I owned a significant part of the delivery and was responsible for key decisions and outcomes.",5,4,4,main,all_high
Tell me about a project where coordination across teams was required.,"I worked on data processing pipeline in a customer-facing product and used Spark, Airflow, Excel, Python across several stages of the work. The work was relatively simple and focused on a limited scope with few dependencies. My responsibility was limited to support tasks, updates, or a narrower implementation scope. I worked with operations, product, support during the project. to the best of my memory.",4,2,2,main,mixed_mid
"What kind of systems, teams, or environments have you been exposed to?","I worked on mobile app backend in a regulated environment and used CI/CD pipelines, Git, Pandas, Power BI, Python across several stages of the work. The project had moderate-to-high complexity because there were several moving parts, some ambiguity, and coordination requirements. My role was quite limited, and the main ownership stayed with more senior team members. I worked with QA, operations during the project.",4,4,1,main,responsibility_low_complexity_high
Describe the broadest range of tools or systems you have worked with.,"I worked mainly on analytics stack and used Excel, CI/CD pipelines in that context. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I owned a significant part of the delivery and was responsible for key decisions and outcomes. I worked with sales, clients, product during the project.",3,3,4,main,responsibility_high_exposure_low
Tell me about the most complex project you worked on.,"I had limited exposure, mostly around candidate screening pipeline, and I used Pandas for a narrow part of the process. The work was relatively simple and focused on a limited scope with few dependencies. My role was quite limited, and the main ownership stayed with more senior team members. to the best of my memory.",2,2,1,main,edge_uncertain
"What level of responsibility have you had for delivery, quality, or outcomes?","I worked mainly on internal admin system and used Redis, AWS S3 in that context. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. My responsibility was limited to support tasks, updates, or a narrower implementation scope.",3,3,2,main,edge_uncertain
Tell me about a production issue or major challenge you handled.,"I supported the process when needed, mostly around one area like order management flow. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. My responsibility was limited to support tasks, updates, or a narrower implementation scope. I worked with operations, management during the project.",1,5,2,main,complexity_high_exposure_low
"What was your role in your last project, and how much responsibility did you have?","I have worked across a high-volume workflow, including monitoring dashboard, support workflows, and reporting processes. I used tools such as Docker, PostgreSQL, CI/CD pipelines, Looker and had exposure to both technical and operational work. The work was relatively simple and focused on a limited scope with few dependencies. I was responsible for one meaningful part of the work, together with the rest of the team.",5,2,3,main,exposure_high_complexity_low
How much end-to-end ownership have you had in a real project?,"I had limited exposure, mostly around permissions system, and I used MongoDB for a narrow part of the process. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I owned a significant part of the delivery and was responsible for key decisions and outcomes. I worked with finance, support during the project.",2,3,4,main,responsibility_high_exposure_low
Tell me about a project where coordination across teams was required.,"I worked on reporting platform in a high-volume workflow and used Pandas, SQL, Kubernetes, Node.js, Lambda, Spark across several stages of the work. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. I owned a significant part of the delivery and was responsible for key decisions and outcomes. I worked with finance, QA, product during the project.",4,5,4,minimal_pair_high,pair_dim=complexity
"What was your role in your last project, and how much responsibility did you have?","I worked on customer onboarding flow in an internal operations platform and used Redis, Python across several stages of the work. The project had moderate-to-high complexity because there were several moving parts, some ambiguity, and coordination requirements. I was personally accountable for planning, execution, follow-up, and final delivery. I made decisions, coordinated with sales, operations, and was the main point of ownership. I worked with sales, operations during the project.",4,4,5,minimal_pair_high,pair_dim=responsibility
"What level of responsibility have you had for delivery, quality, or outcomes?","I had limited exposure, mostly around reporting platform, and I used Looker for a narrow part of the process. The work was relatively simple and focused on a limited scope with few dependencies. I was responsible for one meaningful part of the work, together with the rest of the team. I worked with management, engineering during the project.",2,2,3,main,edge_uncertain
"What kind of systems, teams, or environments have you been exposed to?","I had limited exposure, mostly around internal admin system, and I used Excel for a narrow part of the process. The work was relatively simple and focused on a limited scope with few dependencies. My responsibility was limited to support tasks, updates, or a narrower implementation scope.",2,2,2,main,edge_uncertain
Describe a project where the scale or complexity was higher than usual.,"I had limited exposure, mostly around monitoring dashboard, and I used Node.js for a narrow part of the process. The work was relatively simple and focused on a limited scope with few dependencies. My responsibility was limited to support tasks, updates, or a narrower implementation scope. I worked with clients, QA during the project. I do not remember every detail.",2,2,2,main,edge_uncertain
Tell me about the most complex project you worked on.,"I have seen similar things, mostly around one area like inventory service. It was a fairly basic task with clear instructions and low complexity. My role was quite limited, and the main ownership stayed with more senior team members.",1,1,1,main,all_low
How much end-to-end ownership have you had in a real project?,"I had limited exposure, mostly around mobile app backend, and I used MongoDB for a narrow part of the process. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I was personally accountable for planning, execution, follow-up, and final delivery. I made decisions, coordinated with support, clients, and was the main point of ownership. I worked with support, clients during the project.",2,3,5,main,responsibility_high_exposure_low
Describe the most demanding technical or operational work you have done.,"I worked on monitoring dashboard in a time-sensitive support process and used Spark, CI/CD pipelines, Python, PostgreSQL, Node.js across several stages of the work. It was a fairly basic task with clear instructions and low complexity. I owned a significant part of the delivery and was responsible for key decisions and outcomes. I worked with operations, finance, clients during the project.",4,1,4,minimal_pair_low,pair_dim=complexity
Describe a project where the scale or complexity was higher than usual.,"I was involved to some extent, mostly around one area like support operations dashboard. The work was relatively simple and focused on a limited scope with few dependencies. My responsibility was limited to support tasks, updates, or a narrower implementation scope. I worked with QA during the project.",1,2,2,main,edge_uncertain
Describe the most demanding technical or operational work you have done.,"I worked on CRM automation in a time-sensitive support process and used Jira, Airflow, Notion, SQL, REST APIs across several stages of the work. It was a fairly basic task with clear instructions and low complexity. I owned a significant part of the delivery and was responsible for key decisions and outcomes.",4,1,4,minimal_pair_low,pair_dim=complexity
"What level of responsibility have you had for delivery, quality, or outcomes?","I worked mainly on ETL pipeline and used MongoDB, REST APIs in that context. It was a fairly basic task with clear instructions and low complexity. My role was quite limited, and the main ownership stayed with more senior team members.",3,1,1,main,edge_uncertain
Tell me about a production issue or major challenge you handled.,"I have some background in it, mostly around one area like mobile app backend. The work was relatively simple and focused on a limited scope with few dependencies. My role was quite limited, and the main ownership stayed with more senior team members.",1,2,1,main,edge_uncertain
Describe the most demanding technical or operational work you have done.,"I had limited exposure, mostly around fraud review workflow, and I used Notion for a narrow part of the process. The project had moderate-to-high complexity because there were several moving parts, some ambiguity, and coordination requirements. I owned a significant part of the delivery and was responsible for key decisions and outcomes. I worked with sales, finance, management during the project.",2,4,4,main,responsibility_high_exposure_low
"What level of responsibility have you had for delivery, quality, or outcomes?","I have worked across a small internal tool, including API integration layer, support workflows, and reporting processes. I used tools such as SQL, CI/CD pipelines and had exposure to both technical and operational work. The project had moderate-to-high complexity because there were several moving parts, some ambiguity, and coordination requirements. I owned a significant part of the delivery and was responsible for key decisions and outcomes.",5,4,4,minimal_pair_high,pair_dim=exposure
Tell me about the most complex project you worked on.,"I worked on API integration layer in an internal operations platform and used CI/CD pipelines, SQL, Kubernetes, MongoDB, React, REST APIs across several stages of the work. The work was relatively simple and focused on a limited scope with few dependencies. My responsibility was limited to support tasks, updates, or a narrower implementation scope. I worked with support during the project.",4,2,2,main,exposure_high_complexity_low
Describe a project where the scale or complexity was higher than usual.,"I worked on API integration layer in a high-volume workflow and used MongoDB, Python, CI/CD pipelines, Git, Airflow across several stages of the work. The work was relatively simple and focused on a limited scope with few dependencies. I was responsible for one meaningful part of the work, together with the rest of the team.",4,2,3,main,mixed_mid
Tell me about the most complex project you worked on.,"I have some background in it, mostly around one area like permissions system. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. My responsibility was limited to support tasks, updates, or a narrower implementation scope. I worked with engineering, finance during the project.",1,5,2,main,complexity_high_exposure_low
Tell me about the most complex project you worked on.,"I worked on payments workflow in a high-volume workflow and used Excel, Python, Spark, Node.js across several stages of the work. The project had moderate-to-high complexity because there were several moving parts, some ambiguity, and coordination requirements. I was personally accountable for planning, execution, follow-up, and final delivery. I made decisions, coordinated with engineering, and was the main point of ownership.",4,4,5,minimal_pair_high,pair_dim=responsibility
Tell me about a project where coordination across teams was required.,"I was around this kind of work, mostly around one area like order management flow. It was a fairly basic task with clear instructions and low complexity. My role was quite limited, and the main ownership stayed with more senior team members. I worked with support, sales, clients during the project.",1,1,1,main,all_low
How much end-to-end ownership have you had in a real project?,"I had limited exposure, mostly around inventory service, and I used Airflow for a narrow part of the process. The work was relatively simple and focused on a limited scope with few dependencies. My responsibility was limited to support tasks, updates, or a narrower implementation scope. I worked with support during the project.",2,2,2,main,edge_uncertain
"What kind of systems, teams, or environments have you been exposed to?","I worked on internal admin system in a regulated environment and used Node.js, Notion, SQL, Pandas, Excel, MongoDB across several stages of the work. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. My role was quite limited, and the main ownership stayed with more senior team members. I worked with clients, finance during the project. it was some time ago.",4,5,1,main,responsibility_low_complexity_high
"What was your role in your last project, and how much responsibility did you have?","I worked mainly on data processing pipeline and used Docker, Spark in that context. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. I owned a significant part of the delivery and was responsible for key decisions and outcomes. I worked with operations during the project.",3,5,4,main,complexity_high_exposure_low
"What level of responsibility have you had for delivery, quality, or outcomes?","I worked on analytics stack in a startup environment and used CI/CD pipelines, AWS S3, Pandas, Jira, PostgreSQL across several stages of the work. The work was relatively simple and focused on a limited scope with few dependencies. I was responsible for one meaningful part of the work, together with the rest of the team. to the best of my memory.",4,2,3,main,mixed_mid
Describe a project where the scale or complexity was higher than usual.,"I worked mainly on support operations dashboard and used MongoDB, AWS S3 in that context. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. My role was quite limited, and the main ownership stayed with more senior team members.",3,5,1,main,responsibility_low_complexity_high
"What kind of systems, teams, or environments have you been exposed to?","I worked mainly on mobile app backend and used Node.js, Excel in that context. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. My responsibility was limited to support tasks, updates, or a narrower implementation scope.",3,3,2,main,mixed_mid
Describe the most demanding technical or operational work you have done.,"I had limited exposure, mostly around permissions system, and I used Tableau for a narrow part of the process. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. I was responsible for one meaningful part of the work, together with the rest of the team. I worked with operations, clients, engineering during the project. it was some time ago.",2,5,3,main,complexity_high_exposure_low
Describe the most demanding technical or operational work you have done.,"I worked mainly on reporting platform and used Spark, Jira in that context. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I owned a significant part of the delivery and was responsible for key decisions and outcomes. I worked with clients, product during the project. it was some time ago.",3,3,4,main,mixed_mid
"What level of responsibility have you had for delivery, quality, or outcomes?","I was around this kind of work, mostly around one area like API integration layer. The project had moderate-to-high complexity because there were several moving parts, some ambiguity, and coordination requirements. I owned a significant part of the delivery and was responsible for key decisions and outcomes.",1,4,4,main,complexity_high_exposure_low
Describe a project where the scale or complexity was higher than usual.,"I worked on internal admin system in an enterprise environment and used Pandas, Docker across several stages of the work. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. I was personally accountable for planning, execution, follow-up, and final delivery. I made decisions, coordinated with finance, support, clients, and was the main point of ownership.",4,5,5,main,all_high
Tell me about a project where coordination across teams was required.,"I worked mainly on permissions system and used Pandas, Airflow in that context. The project had moderate-to-high complexity because there were several moving parts, some ambiguity, and coordination requirements. I owned a significant part of the delivery and was responsible for key decisions and outcomes. I worked with support, management during the project. I was not the main owner of the whole thing.",3,4,4,main,responsibility_high_exposure_low
Tell me about the most complex project you worked on.,"I have worked across a time-sensitive support process, including internal admin system, support workflows, and reporting processes. I used tools such as Airflow, AWS S3 and had exposure to both technical and operational work. The work was relatively simple and focused on a limited scope with few dependencies. My responsibility was limited to support tasks, updates, or a narrower implementation scope. I worked with operations during the project.",5,2,2,main,exposure_high_complexity_low
Describe the most demanding technical or operational work you have done.,"I worked mainly on analytics stack and used Pandas, Redis in that context. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. My responsibility was limited to support tasks, updates, or a narrower implementation scope. I worked with QA, sales, clients during the project. I was not the main owner of the whole thing.",3,3,2,main,edge_uncertain
"What level of responsibility have you had for delivery, quality, or outcomes?","I had limited exposure, mostly around monitoring dashboard, and I used MongoDB for a narrow part of the process. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I was personally accountable for planning, execution, follow-up, and final delivery. I made decisions, coordinated with clients, and was the main point of ownership. it was some time ago.",2,3,5,main,responsibility_high_exposure_low
"What kind of systems, teams, or environments have you been exposed to?","I have seen similar things, mostly around one area like ETL pipeline. The project had moderate-to-high complexity because there were several moving parts, some ambiguity, and coordination requirements. I was responsible for one meaningful part of the work, together with the rest of the team. I worked with management, QA, operations during the project.",1,4,3,main,complexity_high_exposure_low
Describe a project where the scale or complexity was higher than usual.,"I worked on monitoring dashboard in a startup environment and used Lambda, REST APIs, Spark, Jira, Python, React across several stages of the work. The work was relatively simple and focused on a limited scope with few dependencies. I was responsible for one meaningful part of the work, together with the rest of the team. I worked with engineering, operations, finance during the project.",4,2,3,main,mixed_mid
"What level of responsibility have you had for delivery, quality, or outcomes?","I had limited exposure, mostly around CRM automation, and I used Redis for a narrow part of the process. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. My role was quite limited, and the main ownership stayed with more senior team members. I worked with management, sales during the project.",2,3,1,main,edge_uncertain
"What kind of systems, teams, or environments have you been exposed to?","I was involved to some extent, mostly around one area like inventory service. The work was relatively simple and focused on a limited scope with few dependencies. I was responsible for one meaningful part of the work, together with the rest of the team.",1,2,3,main,edge_uncertain
"What kind of systems, teams, or environments have you been exposed to?","I worked on support operations dashboard in a time-sensitive support process and used Redis, CI/CD pipelines across several stages of the work. The project had moderate-to-high complexity because there were several moving parts, some ambiguity, and coordination requirements. My role was quite limited, and the main ownership stayed with more senior team members.",4,4,1,minimal_pair_low,pair_dim=responsibility
Describe a project where the scale or complexity was higher than usual.,I handled one narrow but difficult production issue with several dependencies and urgent constraints.,1,5,3,edge_case,high_complexity_low_exposure
"What level of responsibility have you had for delivery, quality, or outcomes?","I have worked across a small internal tool, including reporting platform, support workflows, and reporting processes. I used tools such as Git, Kubernetes, MongoDB, Docker, Looker and had exposure to both technical and operational work. The work was relatively simple and focused on a limited scope with few dependencies. I was responsible for one meaningful part of the work, together with the rest of the team. I worked with management, sales during the project.",5,2,3,main,exposure_high_complexity_low
Tell me about a project where coordination across teams was required.,"I have worked across a customer-facing product, including mobile app backend, support workflows, and reporting processes. I used tools such as Spark, Node.js and had exposure to both technical and operational work. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. I was personally accountable for planning, execution, follow-up, and final delivery. I made decisions, coordinated with QA, clients, and was the main point of ownership.",5,5,5,main,all_high
How much end-to-end ownership have you had in a real project?,"I had limited exposure, mostly around mobile app backend, and I used Lambda for a narrow part of the process. The work was relatively simple and focused on a limited scope with few dependencies. My responsibility was limited to support tasks, updates, or a narrower implementation scope.",2,2,2,main,edge_uncertain
How much end-to-end ownership have you had in a real project?,"I worked mainly on inventory service and used Lambda, AWS S3 in that context. The project had moderate-to-high complexity because there were several moving parts, some ambiguity, and coordination requirements. I was responsible for one meaningful part of the work, together with the rest of the team. I worked with support, engineering during the project.",3,4,3,main,complexity_high_exposure_low
"What level of responsibility have you had for delivery, quality, or outcomes?","I had limited exposure, mostly around permissions system, and I used MongoDB for a narrow part of the process. It was a fairly basic task with clear instructions and low complexity. My responsibility was limited to support tasks, updates, or a narrower implementation scope.",2,1,2,main,edge_uncertain
Tell me about a production issue or major challenge you handled.,"I have worked across a time-sensitive support process, including fraud review workflow, support workflows, and reporting processes. I used tools such as Node.js, React and had exposure to both technical and operational work. It was a fairly basic task with clear instructions and low complexity. My responsibility was limited to support tasks, updates, or a narrower implementation scope.",5,1,2,main,exposure_high_complexity_low
"What level of responsibility have you had for delivery, quality, or outcomes?","I worked mainly on release process and used Lambda, Git in that context. The work was relatively simple and focused on a limited scope with few dependencies. I was responsible for one meaningful part of the work, together with the rest of the team. it was some time ago.",3,2,3,main,mixed_mid
Describe the broadest range of tools or systems you have worked with.,"I worked mainly on release process and used Looker, React in that context. The work was relatively simple and focused on a limited scope with few dependencies. I owned a significant part of the delivery and was responsible for key decisions and outcomes.",3,2,4,main,mixed_mid
Describe the most demanding technical or operational work you have done.,"I worked on order management flow in an enterprise environment and used CI/CD pipelines, Jira, SQL, Airflow, Power BI, Looker across several stages of the work. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. My responsibility was limited to support tasks, updates, or a narrower implementation scope. it was some time ago.",4,5,2,main,responsibility_low_complexity_high
"What kind of systems, teams, or environments have you been exposed to?","I have worked across a startup environment, including support operations dashboard, support workflows, and reporting processes. I used tools such as CI/CD pipelines, Jira, REST APIs, Tableau, PostgreSQL and had exposure to both technical and operational work. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. I was personally accountable for planning, execution, follow-up, and final delivery. I made decisions, coordinated with support, management, and was the main point of ownership. I worked with support, management during the project.",5,5,5,main,all_high
"What kind of systems, teams, or environments have you been exposed to?","I touched related tasks before, mostly around one area like mobile app backend. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. I was responsible for one meaningful part of the work, together with the rest of the team. I worked with management, QA during the project.",1,5,3,main,complexity_high_exposure_low
Describe the broadest range of tools or systems you have worked with.,"I have worked across a startup environment, including internal admin system, support workflows, and reporting processes. I used tools such as Tableau, SQL, Excel, Kubernetes, Redis and had exposure to both technical and operational work. The work was relatively simple and focused on a limited scope with few dependencies. I was responsible for one meaningful part of the work, together with the rest of the team.",5,2,3,main,exposure_high_complexity_low
How much end-to-end ownership have you had in a real project?,"I had limited exposure, mostly around order management flow, and I used Notion for a narrow part of the process. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. I owned a significant part of the delivery and was responsible for key decisions and outcomes.",2,5,4,main,complexity_high_exposure_low
Describe a project where the scale or complexity was higher than usual.,"I worked mainly on fraud review workflow and used Power BI, Jira in that context. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I was responsible for one meaningful part of the work, together with the rest of the team. I worked with operations during the project.",3,3,3,main,mixed_mid
